Insight ID,Date Added,Source Type,Source Name,URL,Query,Location,Persona,Pain Point,Demand Signal,Evidence Summary,Safety/Legal Concern,Competitor Mention,Lead Type,Confidence,Next Action,Status
LEAD-0011,2026-05-25,Public business lead,Black Bridge Resort,https://www.camping-co.com/destination/Black-Bridge-Resort/,Kyrdemkhla Overlander campsite/resort camping lead,Kyrdemkhla,First-time Camper,Washroom|Water|Gear|Road Access,Strong,Booking UI includes caravan/rootop/ground tent/rooms Drinking water listed Toilet and bathroom listed Charging point listed Confirm road access and nightly parking tariff,Washroom; Water; Road Access,,Road Stop Lead,High,Confirm road access and nightly parking tariff,Reviewed
LEAD-0012,2026-05-25,Public business lead,High Winds,https://www.camping-co.com/destination/High-Winds/,Jowai Overland campsite camping lead,Jowai,First-time Camper,Washroom|Water,Strong,Described as short break on overland journey Drinking water listed Toilet and bathroom listed Charging point listed Confirm source page and current operations,Washroom; Water,,Road Stop Lead,High,Confirm source page and current operations,Reviewed
LEAD-0013,2026-05-25,Public business lead,Lalimou Camp,https://www.camping-co.com/destination/Lalimou-Camp/,Nameri Overland campsite camping lead,Nameri,First-time Camper,Washroom|Water|Road Access,Strong,Described as overland and camping site Drinking water listed Toilet and bathroom listed Charging point listed Verify park-side permits and night parking,Washroom; Water; Road Access,,Road Stop Lead,High,Verify park-side permits and night parking,Reviewed
LEAD-0014,2026-05-25,Public business lead,Sapoi Tea Estate,https://www.camping-co.com/destination/Sapoi-Tea-Estate/,Dhekiajuli Tea estate camping/agritourism camping lead,Dhekiajuli,Private-Land Host,Washroom|Water|Mobile Signal,Strong,Camping at tea estate through overland network Drinking water listed Toilet and bathroom listed Charging point listed Confirm BYOT/private campervan acceptance,Washroom; Water,,Road Stop Lead,High,Confirm BYOT/private campervan acceptance,Reviewed
LEAD-0015,2026-05-25,Public business lead,3 Guys Adventure,https://www.camping-co.com/destination/3-Guys-Adventure/,Bhalukpong Adventure campsite/overland stop camping lead,Bhalukpong,First-time Camper,Permission|Washroom|Water|Local Interference,Strong,Freedom camping and adventure camp listing Drinking water listed Toilet and bathroom listed Charging point listed Confirm permits and local night stay rules,Permission; Washroom; Water; Local Interference,,Road Stop Lead,High,Confirm permits and local night stay rules,Reviewed
LEAD-0016,2026-05-25,Public business lead,Letro Homestay,https://www.camping-co.com/destination/Letro-Homestay/,Sangti Homestay/overland stop camping lead,Sangti,First-time Camper,Permission|Washroom|Water|Local Interference|Road Access,Strong,Road-access overland/homestay listing Drinking water listed Toilet and bathroom listed Charging point listed Confirm vehicle size and local permits,Permission; Washroom; Water; Local Interference; Road Access,,Road Stop Lead,High,Confirm vehicle size and local permits,Reviewed
LEAD-0017,2026-05-25,Public business lead,Wild Himalaya Glamping Camp,https://www.camping-co.com/destination/Wild-Himalaya-Glamping-Camp/,Narkanda Glamping/overland stop camping lead,Narkanda,Private-Land Host,Washroom|Water,Strong,Search result lists Camping Co overland amenities Drinking water listed in search result Toilet and bathroom listed in search result Charging point listed in search result Verify page and host directly,Washroom; Water,,Road Stop Lead,High,Verify page and host directly,Reviewed
LEAD-0018,2026-05-25,Public business lead,ChukkiMane Eco Resort,https://www.chukkimane.com/byot-camping/,Near Bangalore BYOT resort campsite camping lead,Near Bangalore,Road Traveler,Water|Road Access,Medium,BYOT explicitly offered Potable water listed Clean restrooms and showers listed Not found in public page Verify campervan parking and charging,Water; Road Access,,Host Lead,Medium,Verify campervan parking and charging,Reviewed
LEAD-0019,2026-05-25,Public business lead,Chayagruha Homestay,https://chayagruhahomestay.in/,Chikkamagaluru Homestay tenting space camping lead,Chikkamagaluru,Road Traveler,Safety|Washroom|Water|Gear,Medium,Bring own tent or rent one listed Safe drinking water listed Clean washrooms and showers listed Electricity points for charging listed Ask if campervans can park overnight near tenting space,Safety; Washroom; Water,,Host Lead,Medium,Ask if campervans can park overnight near tenting space,Reviewed
LEAD-0020,2026-05-25,Public business lead,Campers Creek - Kabbal Forest,https://campershub.in/camps/campers-creek-kabbal-forest/,Kanchanahalli / Kabbal Forest Paid campsite/car camping camping lead,Kanchanahalli / Kabbal Forest,Private-Land Host,Permission|Washroom|Water|Wildlife/Protected Land,Medium,BYOT and car camping listed Drinking water listed Toilets listed Electricity listed Verify source freshness and host contact,Permission; Washroom; Water; Wildlife/Protected Land,,Host Lead,Medium,Verify source freshness and host contact,Reviewed
LEAD-0021,2026-05-25,Public business lead,Sea Shore Beach Stay,https://campershub.in/camps/sea-shore-beach-stay-hosabettu-beach-mangalore/,"Hosabettu Beach, Mangaluru Homestay/paid beach camping camping lead","Hosabettu Beach, Mangaluru",First-time Camper,Safety|Washroom|Water|Road Access,Medium,Self-camping BYOT and car camping listed Drinking water listed Toilets listed Electricity listed Verify tide-safe parking and beach rules,Safety; Washroom; Water; Road Access,,Host Lead,Medium,Verify tide-safe parking and beach rules,Reviewed
LEAD-0022,2026-05-25,Public business lead,Backyard Camp,https://thebackyardcamp.in/,Near Bangalore DIY camping/pet-friendly camp camping lead,Near Bangalore,Road Traveler,Water|Gear|Road Access,Medium,"DIY camping allows own tent Needs confirmation Common bath areas mentioned in public review snippet Needs confirmation Verify water, night parking, electricity, campervan acceptance",Water; Road Access,,Host Lead,Low,"Verify water, night parking, electricity, campervan acceptance",Reviewed
LEAD-0023,2026-05-25,Public business lead,Wilderness Jungle Camp,https://www.wildernessjunglecamp.com/tariff.php,Malavalli / Mandya Campground with BYOT tariff camping lead,Malavalli / Mandya,First-time Camper,Washroom|Water|Road Access,Medium,"BYOT and DIY camping tariffs listed Needs confirmation Needs confirmation Needs confirmation Verify parking, toilets, drinking water and electricity",Washroom; Water; Road Access,,Host Lead,Low,"Verify parking, toilets, drinking water and electricity",Reviewed
LEAD-0024,2026-05-25,Public business lead,Dreamtime Bungalows,https://dreamtimebungalows.com/,"Near Kuldhara, Jaisalmer Desert eco-stay/BYOT camping lead","Near Kuldhara, Jaisalmer",Road Traveler,Washroom|Water|Road Access,Medium,"Defined BYOT camping area listed Needs confirmation Common washrooms listed Needs confirmation Verify campervan parking, water refill, charging and dune compliance",Washroom; Water; Road Access,,Host Lead,Medium,"Verify campervan parking, water refill, charging and dune compliance",Reviewed
