id,tier,site,region,state,type,camper_signal,water_signal,washroom_signal,electricity_signal,status,source_url,next_action
11,A,Black Bridge Resort,Kyrdemkhla,Meghalaya,Overlander campsite/resort,"Booking UI includes caravan/rootop/ground tent/rooms","Drinking water listed","Toilet and bathroom listed","Charging point listed",Lead,https://www.camping-co.com/destination/Black-Bridge-Resort/,"Confirm road access and nightly parking tariff"
12,A,High Winds,Jowai,Meghalaya,Overland campsite,"Described as short break on overland journey","Drinking water listed","Toilet and bathroom listed","Charging point listed",Lead,https://www.camping-co.com/destination/High-Winds/,"Confirm source page and current operations"
13,A,Lalimou Camp,Nameri,Assam,Overland campsite,"Described as overland and camping site","Drinking water listed","Toilet and bathroom listed","Charging point listed",Lead,https://www.camping-co.com/destination/Lalimou-Camp/,"Verify park-side permits and night parking"
14,A,Sapoi Tea Estate,Dhekiajuli,Assam,Tea estate camping/agritourism,"Camping at tea estate through overland network","Drinking water listed","Toilet and bathroom listed","Charging point listed",Lead,https://www.camping-co.com/destination/Sapoi-Tea-Estate/,"Confirm BYOT/private campervan acceptance"
15,A,3 Guys Adventure,Bhalukpong,Arunachal Pradesh,Adventure campsite/overland stop,"Freedom camping and adventure camp listing","Drinking water listed","Toilet and bathroom listed","Charging point listed",Lead,https://www.camping-co.com/destination/3-Guys-Adventure/,"Confirm permits and local night stay rules"
16,A,Letro Homestay,Sangti,Arunachal Pradesh,Homestay/overland stop,"Road-access overland/homestay listing","Drinking water listed","Toilet and bathroom listed","Charging point listed",Lead,https://www.camping-co.com/destination/Letro-Homestay/,"Confirm vehicle size and local permits"
17,A,Wild Himalaya Glamping Camp,Narkanda,Himachal Pradesh,Glamping/overland stop,"Search result lists Camping Co overland amenities","Drinking water listed in search result","Toilet and bathroom listed in search result","Charging point listed in search result",Needs verification,https://www.camping-co.com/destination/Wild-Himalaya-Glamping-Camp/,"Verify page and host directly"
18,B,ChukkiMane Eco Resort,Near Bangalore,Karnataka,BYOT resort campsite,"BYOT explicitly offered","Potable water listed","Clean restrooms and showers listed","Not found in public page",Lead,https://www.chukkimane.com/byot-camping/,"Verify campervan parking and charging"
19,B,Chayagruha Homestay,Chikkamagaluru,Karnataka,Homestay tenting space,"Bring own tent or rent one listed","Safe drinking water listed","Clean washrooms and showers listed","Electricity points for charging listed",Strong BYOT lead,https://chayagruhahomestay.in/,"Ask if campervans can park overnight near tenting space"
20,B,Campers Creek - Kabbal Forest,"Kanchanahalli / Kabbal Forest",Karnataka,Paid campsite/car camping,"BYOT and car camping listed","Drinking water listed","Toilets listed","Electricity listed",Strong lead,https://campershub.in/camps/campers-creek-kabbal-forest/,"Verify source freshness and host contact"
21,B,Sea Shore Beach Stay,"Hosabettu Beach, Mangaluru",Karnataka,Homestay/paid beach camping,"Self-camping BYOT and car camping listed","Drinking water listed","Toilets listed","Electricity listed",Strong lead,https://campershub.in/camps/sea-shore-beach-stay-hosabettu-beach-mangalore/,"Verify tide-safe parking and beach rules"
22,C,Backyard Camp,Near Bangalore,Karnataka,DIY camping/pet-friendly camp,"DIY camping allows own tent","Needs confirmation","Common bath areas mentioned in public review snippet","Needs confirmation",Outreach lead,https://thebackyardcamp.in/,"Verify water, night parking, electricity, campervan acceptance"
23,C,Wilderness Jungle Camp,"Malavalli / Mandya",Karnataka,Campground with BYOT tariff,"BYOT and DIY camping tariffs listed","Needs confirmation","Needs confirmation","Needs confirmation",Outreach lead,https://www.wildernessjunglecamp.com/tariff.php,"Verify parking, toilets, drinking water and electricity"
24,B,Dreamtime Bungalows,"Near Kuldhara, Jaisalmer",Rajasthan,Desert eco-stay/BYOT,"Defined BYOT camping area listed","Needs confirmation","Common washrooms listed","Needs confirmation",Lead,https://dreamtimebungalows.com/,"Verify campervan parking, water refill, charging and dune compliance"
